name,cultural_enrichment,approximate_cost,location,season,population_density,camping_available,network_availability,description,approximate_cost_category,population_density_category,network_availability_category,active_activity,adventure_activity,architecture_activity,beach_activity,beach_activity отдых,cave_activity,cultural_activity,ecotourism_activity,ethnic_activity,excursion_activity,extreme_activity,family_activity,fishing_activity,gastronomic_activity,hiking_activity,horse_riding_activity,industrial_activity,marine_activity,military_history_activity,mountaineering_activity,nature_activity,nature_observation_activity,rafting_activity,religious_activity,skiing_activity,water_activity,water_sports_activity,wellness_activity,wine_activity,cave_terrain,chalky_terrain,coast_terrain,desert_terrain,dune_terrain,forest_steppe_terrain,forest_terrain,glacier_terrain,hill_terrain,island_terrain,lake_terrain,marine_terrain,mountain_taiga_terrain,mountain_terrain,plain_terrain,plateau_terrain,quarry_terrain,river_coast_terrain,river_terrain,rocky_terrain,salt_terrain,steppe_terrain,taiga_terrain,tundra_terrain,valley_terrain,vineyard_terrain,volcanic_terrain,waterfall_terrain
Золотое кольцо России,1,15000.0,Центральная Россия,summer,50,0,90,"Погрузитесь в богатую историю и культуру древних русских городов, таких как Владимир, Суздаль и Ярославль. Вы посетите величественные соборы, монастыри и музеи, познакомитесь с традиционными ремеслами и попробуете местную кухню. Это путешествие позволит вам прикоснуться к истокам русской цивилизации и насладиться красотой архитектурных шедевров.",Very cheap,Low,High network availability,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Байкальское приключение,0,25000.0,Байкал,summer,10,1,60,"Отправьтесь в захватывающее приключение на легендарное озеро Байкал. Вас ждут треккинги по живописным горным тропам, рафтинг по бурным рекам и кемпинг в нетронутой природе. Вы сможете насладиться потрясающими видами, чистейшим воздухом и возможностью наблюдать за редкими животными в их естественной среде обитания.",Cheap,Very low,Medium network availability,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Крымский рай,1,20000.0,Крым,summer,80,0,95,"Откройте для себя уникальное сочетание пляжного отдыха и культурного наследия в Крыму. Вы сможете понежиться на солнечных пляжах Черного моря, совершить увлекательные экскурсии по древним городам, таким как Севастополь и Херсонес, и посетить живописные горные районы. Крым предлагает разнообразие ландшафтов, богатую историю и гостеприимство местных жителей.",Cheap,Low,High network availability,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Камчатские гейзеры,0,40000.0,Камчатка,summer,5,1,30,"Отправьтесь в незабываемое путешествие по одному из самых удаленных и нетронутых уголков России - полуострову Камчатка. Вас ждут восхождения на действующие вулканы, наблюдение за извержениями и гейзерами, а также возможность увидеть уникальную фауну региона. Это экстремальное приключение подарит вам незабываемые впечатления и позволит прикоснуться к силе природы.",Cheap,Very low,Low network availability,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Северное сияние,0,30000.0,Мурманская область,winter,20,1,70,"Отправьтесь в захватывающее путешествие на Крайний Север России, чтобы стать свидетелем одного из самых впечатляющих природных явлений - северного сияния. Вы также познакомитесь с культурой и бытом коренных народов Севера, таких как саамы, научитесь управлять собачьими упряжками и насладитесь потрясающими видами заснеженной тундры.",Cheap,Very low,High network availability,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Казанское наследие,1,18000.0,Казань,summer,90,0,100,"Погрузитесь в богатую историю и культуру Казани, одного из самых ярких городов России. Вы посетите величественный Казанский Кремль, мечети и православные церкви, познакомитесь с татарской культурой и традициями, а также сможете насладиться местной кухней и ремеслами. Казань - это уникальное сочетание восточных и европейских влияний, которое оставит незабываемые впечатления.",Very cheap,Low,High network availability,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Курильское кольцо,0,55000.0,Курильские острова,summer,2,1,20,"Совершите незабываемое путешествие по Курильским островам, где вас ждут потрясающие виды на действующие вулканы, горячие источники и нетронутую природу. Вы сможете наблюдать за китами и морскими львами, посетить заповедники и познакомиться с уникальной флорой и фауной региона.",Average,Very low,Low network availability,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Камчатский полуостров,1,80000.0,Камчатский край,summer,1,1,60,"Камчатский полуостров - это уникальный регион, известный своими действующими вулканами, горячими источниками, медведями и другими дикими животными. Здесь вы сможете совершить незабываемые походы, понаблюдать за китами и птицами, а также познакомиться с культурой коренных народов Камчатки.",Average,Very low,Medium network availability,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Санкт-Петербург,1,30000.0,Ленинградская область,summer,3800,0,95,"Санкт-Петербург - это культурная столица России, известная своими величественными дворцами, соборами, музеями и парками. Во время поездки вы сможете погрузиться в атмосферу имперского великолепия, посетить Эрмитаж, Петергоф и другие знаковые достопримечательности города.",Cheap,Very high,High network availability,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Плато Путорана,1,100000.0,Красноярский край,summer,0,1,30,"Плато Путорана - это удивительный природный регион, расположенный на севере Красноярского края. Здесь вы сможете увидеть величественные горные хребты, глубокие каньоны, бесчисленные озера и водопады. Это идеальное место для любителей нетронутой природы и активного отдыха.",Expensive,Very low,Low network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Алтайские горы,1,60000.0,Алтайский край,summer,8,1,50,"Алтайские горы - это живописный горный регион, известный своими живописными пейзажами, чистыми озерами и реками. Здесь вы сможете совершить увлекательные походы, полюбоваться альпийскими лугами и познакомиться с культурой коренных народов Алтая.",Average,Very low,Medium network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Соловецкие острова,1,40000.0,Архангельская область,summer,15,0,70,"Соловецкие острова - это уникальный архипелаг в Белом море, известный своим Соловецким монастырем и другими историческими и культурными достопримечательностями. Здесь вы сможете познакомиться с историей русского Севера, полюбоваться живописными пейзажами и отдохнуть от городской суеты.",Cheap,Very low,High network availability,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Карельский перешеек,1,35000.0,Ленинградская область,summer,25,1,80,"Карельский перешеек - это живописный регион, расположенный между Финским заливом и Ладожским озером. Здесь вы сможете насладиться нетронутой природой, полюбоваться живописными пейзажами, порыбачить в чистых озерах и познакомиться с культурой Карелии.",Cheap,Very low,High network availability,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Архыз (Северный Кавказ),1,55000.0,Карачаево-Черкесская Республика,summer,10,1,60,"Архыз - это живописный горный курорт на Северном Кавказе, известный своими живописными пейзажами, горными реками и озерами. Здесь вы сможете заниматься горнолыжным спортом, совершать пешие походы, наблюдать за дикой природой и знакомиться с культурой местных народов.",Average,Very low,Medium network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Остров Валаам,1,45000.0,Республика Карелия,summer,20,0,70,"Остров Валаам - это уникальный остров в Ладожском озере, известный своим древним Валаамским монастырем и живописными природными ландшафтами. Здесь вы сможете погрузиться в атмосферу духовности, посетить монастырские храмы и насладиться красотой северной природы.",Cheap,Very low,High network availability,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ленские столбы (Якутия),1,80000.0,Республика Саха (Якутия),summer,0,1,40,"Ленские столбы - это уникальный природный памятник, расположенный на берегах реки Лены в Якутии. Эти величественные скальные образования, возраст которых достигает 350 миллионов лет, привлекают туристов со всего мира. Здесь вы сможете совершить захватывающие походы, полюбоваться живописными пейзажами и познакомиться с культурой коренных народов Якутии.",Average,Very low,Low network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
Плато Маньпупунёр (Урал),1,75000.0,Республика Коми,summer,1,1,30,"Плато Маньпупунёр - это уникальный природный памятник, расположенный на Северном Урале. Здесь вы сможете увидеть величественные каменные столбы, известные как ""Семь Святых"", а также насладиться нетронутой природой тундры и познакомиться с культурой коренных народов Севера.",Average,Very low,Low network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Куршская коса (Калининградская область),1,40000.0,Калининградская область,summer,25,1,80,"Куршская коса - это уникальный природный объект, расположенный на побережье Балтийского моря. Здесь вы сможете насладиться живописными пейзажами, прогуляться по песчаным дюнам, полюбоваться птицами и познакомиться с культурой Калининградского региона.",Cheap,Very low,High network availability,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Остров Сахалин,1,90000.0,Сахалинская область,summer,6,1,60,"Остров Сахалин - это уникальный регион, расположенный на Дальнем Востоке России. Здесь вы сможете насладиться нетронутой природой, понаблюдать за морскими млекопитающими, заняться рыбалкой и познакомиться с культурой коренных народов Сахалина.",Average,Very low,Medium network availability,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Териберка (Мурманская область),1,60000.0,Мурманская область,summer,10,1,40,"Териберка - это небольшое поселение на Баренцевом море, известное своими живописными пейзажами, уникальной природой и культурой Русского Севера. Здесь вы сможете полюбоваться северными пейзажами, понаблюдать за морскими птицами и млекопитающими, а также попробовать местную рыбу и морепродукты.",Average,Very low,Low network availability,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Национальный парк ""Русская Арктика"" (Архангельская область)",1,90000.0,Архангельская область,summer,0,1,20,"Национальный парк ""Русская Арктика"" - это уникальная охраняемая территория, расположенная на архипелаге Земля Франца-Иосифа. Здесь вы сможете увидеть величественные ледники, полюбоваться арктической флорой и фауной, а также познакомиться с историей освоения Арктики.",Average,Very low,Low network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Долина Лефкадия (Краснодарский край),1,45000.0,Краснодарский край,summer,20,1,70,"Долина Лефкадия - это живописный регион на Черноморском побережье Краснодарского края, известный своими винодельческими хозяйствами и гастрономическими достопримечательностями. Здесь вы сможете продегустировать местные вина, познакомиться с традиционной кухней и насладиться живописными пейзажами.",Cheap,Very low,High network availability,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Кавказский заповедник,1,60000.0,Краснодарский край,summer,2,1,50,"Кавказский заповедник - это уникальная природная территория, расположенная на Западном Кавказе. Здесь вы сможете насладиться нетронутыми горными ландшафтами, увидеть редких животных и птиц, а также познакомиться с культурой народов Кавказа.",Average,Very low,Medium network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Озеро Селигер,1,35000.0,Тверская область,summer,20,1,70,"Озеро Селигер - это живописный водоем, расположенный в Тверской области. Здесь вы сможете отдохнуть на берегу, заняться рыбалкой, покататься на лодках и катамаранах, а также познакомиться с историей и культурой этого региона.",Cheap,Very low,High network availability,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ергаки,1,70000.0,Красноярский край,summer,1,1,40,"Ергаки - это живописный горный массив, расположенный в Западном Саяне. Здесь вы сможете совершить захватывающие походы, полюбоваться горными озерами и ледниками, а также попробовать себя в альпинизме и других активных видах отдыха.",Average,Very low,Low network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Териберка,1,60000.0,Мурманская область,summer,10,1,40,"Териберка - это небольшое поселение на Баренцевом море, известное своими живописными пейзажами, уникальной природой и культурой Русского Севера. Здесь вы сможете полюбоваться северными пейзажами, понаблюдать за морскими птицами и млекопитающими, а также попробовать местную рыбу и морепродукты.",Average,Very low,Low network availability,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Остров Врангеля,1,70000.0,Чукотский автономный округ,summer,0,1,10,"Остров Врангеля - это уникальный природный заповедник, расположенный в Восточно-Сибирском море. Здесь вы сможете увидеть белых медведей, моржей, редких птиц и другую арктическую фауну, а также познакомиться с культурой коренных народов Чукотки.",Average,Very low,Low network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Республика Тыва,1,80000.0,Республика Тыва,summer,2,1,50,"Республика Тыва - это уникальный регион, расположенный в Южной Сибири. Здесь вы сможете познакомиться с культурой и традициями тувинского народа, совершить увлекательные походы по горным ландшафтам, сплавиться по горным рекам и насладиться нетронутой природой.",Average,Very low,Medium network availability,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Республика Калмыкия,1,60000.0,Республика Калмыкия,summer,3,1,60,"Республика Калмыкия - это уникальный регион, известный своей буддийской культурой, живописными степными ландшафтами и богатой флорой и фауной. Здесь вы сможете познакомиться с традициями калмыцкого народа, совершить пешие или конные прогулки по бескрайним просторам и насладиться спокойствием природы.",Average,Very low,Medium network availability,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Национальный парк ""Смоленское Поозерье""",1,35000.0,Смоленская область,summer,10,1,50,"Национальный парк ""Смоленское Поозерье"" - это живописный регион, расположенный на западе России. Здесь вы сможете насладиться чистыми озерами, совершить увлекательные походы по лесным тропам, заняться рыбалкой и познакомиться с историей и культурой Смоленской области.",Cheap,Very low,Medium network availability,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Национальный парк ""Зюраткуль""",1,45000.0,Челябинская область,summer,8,1,60,"Национальный парк ""Зюраткуль"" - это живописный природный заповедник, расположенный на Южном Урале. Здесь вы сможете насладиться красотой горных ландшафтов, совершить увлекательные походы, порыбачить в чистых озерах и познакомиться с культурой местных жителей.",Cheap,Very low,Medium network availability,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Республика Карелия,1,45000.0,Республика Карелия,summer,8,1,60,"Республика Карелия - это регион, известный своими живописными озерами, лесами и богатым культурным наследием. Здесь вы сможете совершить увлекательные походы, познакомиться с карельской культурой и традициями, а также отдохнуть в живописных природных уголках.",Cheap,Very low,Medium network availability,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Алтайский край,1,55000.0,Алтайский край,summer,12,1,60,"Алтайский край - это регион, известный своими живописными горными ландшафтами, чистыми реками и озерами. Здесь вы сможете совершить увлекательные походы, заняться рафтингом, конными прогулками и другими активными видами отдыха, а также познакомиться с культурой коренных народов Алтая.",Average,Very low,Medium network availability,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Республика Дагестан,1,60000.0,Республика Дагестан,summer,50,1,50,"Республика Дагестан - это уникальный регион, известный своим культурным разнообразием, живописными горными ландшафтами и побережьем Каспийского моря. Здесь вы сможете познакомиться с традициями и обычаями народов Дагестана, совершить увлекательные походы по горам и отдохнуть на побережье.",Average,Low,Medium network availability,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Псковская область,1,35000.0,Псковская область,summer,12,1,60,"Псковская область - это регион, богатый историческими и культурными достопримечательностями. Здесь вы сможете посетить древние крепости, монастыри и музеи, познакомиться с народными ремеслами и традициями, а также насладиться живописными озерными пейзажами.",Cheap,Very low,Medium network availability,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Соловецкие острова,1,40000.0,Архангельская область,summer,15,0,70,"Соловецкие острова - это уникальный архипелаг в Белом море, известный своим Соловецким монастырем и другими историческими и культурными достопримечательностями. Здесь вы сможете познакомиться с историей русского Севера, полюбоваться живописными пейзажами и отдохнуть от городской суеты.",Cheap,Very low,High network availability,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Великий Устюг,1,30000.0,Вологодская область,winter,25,0,70,"Великий Устюг - это город, известный как родина Деда Мороза. Здесь вы сможете погрузиться в атмосферу русских зимних сказок, посетить резиденцию Деда Мороза, познакомиться с народными ремеслами и традициями Русского Севера.",Cheap,Very low,High network availability,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Углич,1,18000.0,Ярославская область,summer,350,0,70,"Углич - это небольшой город, расположенный на Волге, известный своей богатой историей и культурным наследием. Здесь вы сможете посетить Угличский Кремль, Спасо-Преображенский собор, а также познакомиться с народными ремеслами и традициями Русского Севера.",Very cheap,Low,High network availability,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Тобольск,1,25000.0,Тюменская область,summer,400,0,70,"Тобольск - это один из старейших городов Сибири, известный своим Кремлем, Софийско-Успенским собором и другими историческими достопримечательностями. Здесь вы сможете погрузиться в атмосферу сибирской истории, познакомиться с традициями и культурой местных жителей.",Cheap,Low,High network availability,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Старая Русса,1,22000.0,Новгородская область,summer,350,0,65,"Старая Русса - это небольшой город, расположенный на берегу реки Полисть, известный своими минеральными источниками и историческими достопримечательностями. Здесь вы сможете посетить музеи, познакомиться с традициями русской провинции и воспользоваться оздоровительными услугами местных курортов.",Cheap,Low,Medium network availability,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Тихвин,1,20000.0,Ленинградская область,summer,400,0,70,"Тихвин - это небольшой город, расположенный на реке Тихвинка, известный своим Тихвинским Успенским монастырем и другими историческими и культурными достопримечательностями. Здесь вы сможете познакомиться с русской православной культурой, посетить музеи и насладиться спокойной атмосферой провинциального города.",Cheap,Low,High network availability,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Великий Новгород,1,25000.0,Новгородская область,summer,450,0,75,"Великий Новгород - один из древнейших городов России, известный своим Кремлем, Софийским собором и другими историческими памятниками. Здесь вы сможете погрузиться в атмосферу средневековой Руси, посетить музеи и познакомиться с богатым культурным наследием этого региона.",Cheap,Low,High network availability,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ростов Великий,1,22000.0,Ярославская область,summer,350,0,70,"Ростов Великий - один из древнейших городов Золотого кольца России, известный своим Кремлем, Успенским собором и другими историческими достопримечательностями. Здесь вы сможете погрузиться в атмосферу средневековой Руси, посетить музеи и познакомиться с традициями русской православной культуры.",Cheap,Low,High network availability,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Кириллов,1,20000.0,Вологодская область,summer,300,0,65,"Кириллов - это небольшой город, расположенный на берегу Сиверского озера, известный своим Кирилло-Белозерским монастырем и другими историческими достопримечательностями. Здесь вы сможете познакомиться с русской православной культурой, посетить музеи и насладиться спокойной атмосферой провинциального города.",Cheap,Low,Medium network availability,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Домбай,1,60000.0,Карачаево-Черкесская Республика,summer,8,1,55,"Домбай - это популярный горнолыжный курорт на Северном Кавказе, расположенный в живописных горных ландшафтах. Здесь вы сможете насладиться катанием на горных лыжах и сноубордах, совершить увлекательные походы по горным тропам, а также познакомиться с культурой и традициями местных народов.",Average,Very low,Medium network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
